Zeit,Waage 1,Waage 2
2025-07-30 21:55,T: 28.50 °C | H: 57.00 % | Gewicht: 37116.2 g,T: 27.00 °C | H: 64.70 % | Gewicht: 41280.7 g
2025-07-30 22:07,T: 28.40 °C | H: 55.90 % | Gewicht: 37303.7 g,T: 26.60 °C | H: 65.00 % | Gewicht: 41270.9 g
2025-07-30 23:07,T: 27.60 °C | H: 57.20 % | Gewicht: 37300.4 g,T: 24.40 °C | H: 71.20 % | Gewicht: 41247.1 g
2025-07-31 00:07,T: 27.00 °C | H: 57.40 % | Gewicht: 37291.2 g,T: 23.40 °C | H: 74.50 % | Gewicht: 41226.5 g
2025-07-31 01:07,T: 26.80 °C | H: 57.30 % | Gewicht: 37280.9 g,T: 22.50 °C | H: 75.70 % | Gewicht: 41237.8 g
2025-07-31 02:07,T: 26.60 °C | H: 57.40 % | Gewicht: 37270.8 g,T: 21.70 °C | H: 81.40 % | Gewicht: 41229.1 g
2025-07-31 03:07,T: 26.30 °C | H: 58.00 % | Gewicht: 37246.7 g,T: 21.50 °C | H: 81.30 % | Gewicht: 41194.8 g
2025-07-31 04:07,T: 26.10 °C | H: 59.20 % | Gewicht: 37254.2 g,T: 21.00 °C | H: 83.70 % | Gewicht: 41202.2 g
2025-07-31 05:07,T: 26.10 °C | H: 58.90 % | Gewicht: 37248.2 g,T: 20.90 °C | H: 84.20 % | Gewicht: 41186.0 g
2025-07-31 06:07,T: 26.10 °C | H: 59.40 % | Gewicht: 37236.1 g,T: 20.70 °C | H: 82.40 % | Gewicht: 41156.0 g
2025-07-31 07:07,T: 26.40 °C | H: 60.20 % | Gewicht: 37250.3 g,T: 21.20 °C | H: 83.90 % | Gewicht: 41132.0 g
2025-07-31 08:07,T: 27.10 °C | H: 62.00 % | Gewicht: 37250.2 g,T: 21.90 °C | H: 81.50 % | Gewicht: 41093.8 g
2025-07-31 09:07,T: 27.60 °C | H: 62.70 % | Gewicht: 37244.8 g,T: 22.10 °C | H: 85.20 % | Gewicht: 41059.5 g
2025-07-31 10:07,T: 28.30 °C | H: 63.30 % | Gewicht: 37245.1 g,T: 22.90 °C | H: 82.20 % | Gewicht: 40947.7 g
2025-07-31 11:07,T: 29.70 °C | H: 64.30 % | Gewicht: 37132.9 g,T: 24.40 °C | H: 80.90 % | Gewicht: 40832.3 g
2025-07-31 12:07,T: 30.90 °C | H: 64.40 % | Gewicht: 37123.4 g,T: 25.30 °C | H: 80.60 % | Gewicht: 40795.5 g
2025-07-31 13:07,T: 31.40 °C | H: 64.50 % | Gewicht: 37135.2 g,T: 25.90 °C | H: 75.10 % | Gewicht: 40807.6 g
2025-07-31 14:07,T: 31.50 °C | H: 65.60 % | Gewicht: 37157.6 g,T: 26.10 °C | H: 73.30 % | Gewicht: 40876.2 g
2025-07-31 15:07,T: 31.80 °C | H: 65.40 % | Gewicht: 37155.8 g,T: 26.80 °C | H: 75.30 % | Gewicht: 40849.4 g
2025-07-31 16:07,T: 32.50 °C | H: 65.00 % | Gewicht: 37177.4 g,T: 28.10 °C | H: 80.10 % | Gewicht: 40809.6 g
2025-07-31 17:07,T: 32.90 °C | H: 65.60 % | Gewicht: 37147.9 g,T: 29.80 °C | H: 70.90 % | Gewicht: 40822.7 g
2025-07-31 18:07,T: 33.20 °C | H: 65.00 % | Gewicht: 37143.2 g,T: 28.50 °C | H: 68.00 % | Gewicht: 40781.4 g
2025-07-31 19:08,T: 33.10 °C | H: 65.10 % | Gewicht: 37133.3 g,T: 30.50 °C | H: 68.40 % | Gewicht: 40814.7 g
2025-07-31 20:07,T: 32.60 °C | H: 66.40 % | Gewicht: 37100.7 g,T: 31.30 °C | H: 63.80 % | Gewicht: 40746.0 g
2025-07-31 21:07,T: 31.80 °C | H: 63.90 % | Gewicht: 37048.0 g,T: 30.00 °C | H: 58.30 % | Gewicht: 40704.8 g
2025-07-31 22:07,T: 31.10 °C | H: 64.80 % | Gewicht: 37007.6 g,T: 29.20 °C | H: 73.10 % | Gewicht: 40681.9 g
2025-07-31 23:07,T: 30.40 °C | H: 65.00 % | Gewicht: 36970.3 g,T: 27.40 °C | H: 68.60 % | Gewicht: 40691.5 g
2025-08-01 00:07,T: 29.60 °C | H: 64.30 % | Gewicht: 36947.6 g,T: 26.90 °C | H: 75.60 % | Gewicht: 40669.1 g
2025-08-01 01:07,T: 29.30 °C | H: 66.50 % | Gewicht: 36916.5 g,T: 25.80 °C | H: 76.00 % | Gewicht: 40660.5 g
2025-08-01 02:07,T: 28.80 °C | H: 65.90 % | Gewicht: 36919.1 g,T: 24.40 °C | H: 78.20 % | Gewicht: 40662.1 g
2025-08-01 03:07,T: 28.80 °C | H: 67.90 % | Gewicht: 36910.0 g,T: 24.40 °C | H: 74.30 % | Gewicht: 40675.7 g
2025-08-01 04:07,T: 28.80 °C | H: 65.70 % | Gewicht: 36902.0 g,T: 25.60 °C | H: 78.70 % | Gewicht: 40663.5 g
2025-08-01 05:07,T: 29.00 °C | H: 67.20 % | Gewicht: 36878.3 g,T: 25.00 °C | H: 76.10 % | Gewicht: 40644.1 g
2025-08-01 06:07,T: 29.00 °C | H: 66.80 % | Gewicht: 36856.3 g,T: 24.60 °C | H: 77.20 % | Gewicht: 40623.6 g
2025-08-01 07:07,T: 29.30 °C | H: 63.10 % | Gewicht: 36867.9 g,T: 24.20 °C | H: 74.90 % | Gewicht: 40611.7 g
2025-08-01 08:07,T: 30.10 °C | H: 63.70 % | Gewicht: 36896.7 g,T: 24.40 °C | H: 72.00 % | Gewicht: 40575.1 g
2025-08-01 09:07,T: 30.10 °C | H: 62.70 % | Gewicht: 36836.1 g,T: 24.40 °C | H: 77.00 % | Gewicht: 40535.4 g
2025-08-01 10:07,T: 29.80 °C | H: 61.50 % | Gewicht: 36840.4 g,T: 24.40 °C | H: 79.40 % | Gewicht: 40524.8 g
2025-08-01 11:07,T: 29.50 °C | H: 61.90 % | Gewicht: 36850.8 g,T: 24.40 °C | H: 79.20 % | Gewicht: 40528.9 g
2025-08-01 12:07,T: 29.30 °C | H: 61.10 % | Gewicht: 36932.4 g,T: 24.30 °C | H: 82.10 % | Gewicht: 40524.2 g
2025-08-01 13:07,T: 30.00 °C | H: 64.50 % | Gewicht: 36842.7 g,T: 24.60 °C | H: 77.40 % | Gewicht: 40561.6 g
2025-08-01 14:07,T: 31.80 °C | H: 69.50 % | Gewicht: 36703.5 g,T: 27.00 °C | H: 82.20 % | Gewicht: 40366.3 g
2025-08-01 15:07,T: 32.40 °C | H: 70.50 % | Gewicht: 36468.3 g,T: 28.30 °C | H: 75.20 % | Gewicht: 40249.0 g
2025-08-01 16:07,T: 32.40 °C | H: 66.90 % | Gewicht: 36473.9 g,T: 28.70 °C | H: 71.20 % | Gewicht: 40293.6 g
2025-08-01 17:07,T: 31.80 °C | H: 66.60 % | Gewicht: 36484.2 g,T: 29.20 °C | H: 71.80 % | Gewicht: 40331.2 g
2025-08-01 18:07,T: 31.90 °C | H: 66.40 % | Gewicht: 36414.7 g,T: 28.70 °C | H: 69.50 % | Gewicht: 40315.3 g
2025-08-01 19:07,T: 31.00 °C | H: 64.80 % | Gewicht: 36316.6 g,T: 28.10 °C | H: 69.60 % | Gewicht: 40316.4 g
2025-08-01 20:07,T: 30.70 °C | H: 63.70 % | Gewicht: 36233.4 g,T: 28.90 °C | H: 63.50 % | Gewicht: 40304.7 g
2025-08-01 21:07,T: 29.80 °C | H: 62.60 % | Gewicht: 36195.3 g,T: 25.00 °C | H: 68.20 % | Gewicht: 40329.5 g
2025-08-01 22:07,T: 29.30 °C | H: 63.80 % | Gewicht: 36137.3 g,T: 23.30 °C | H: 73.50 % | Gewicht: 40317.1 g
2025-08-01 23:07,T: 28.80 °C | H: 65.30 % | Gewicht: 36089.4 g,T: 24.80 °C | H: 75.50 % | Gewicht: 40336.7 g
2025-08-02 00:07,T: 28.40 °C | H: 62.90 % | Gewicht: 36062.1 g,T: 25.90 °C | H: 68.60 % | Gewicht: 40336.5 g
2025-08-02 01:07,T: 28.20 °C | H: 65.40 % | Gewicht: 36036.1 g,T: 26.10 °C | H: 75.30 % | Gewicht: 40337.2 g
2025-08-02 02:07,T: 28.20 °C | H: 65.80 % | Gewicht: 36024.2 g,T: 26.90 °C | H: 72.50 % | Gewicht: 40330.3 g
2025-08-02 03:07,T: 28.30 °C | H: 64.00 % | Gewicht: 36002.7 g,T: 24.20 °C | H: 79.50 % | Gewicht: 40327.2 g
2025-08-02 04:07,T: 28.10 °C | H: 63.20 % | Gewicht: 36004.5 g,T: 22.90 °C | H: 75.20 % | Gewicht: 40317.2 g
2025-08-02 05:07,T: 27.70 °C | H: 64.80 % | Gewicht: 36010.0 g,T: 21.70 °C | H: 75.20 % | Gewicht: 40315.3 g
2025-08-02 06:07,T: 27.80 °C | H: 65.30 % | Gewicht: 36023.3 g,T: 21.80 °C | H: 73.70 % | Gewicht: 40319.9 g
2025-08-02 07:07,T: 28.20 °C | H: 64.30 % | Gewicht: 36023.7 g,T: 21.80 °C | H: 76.60 % | Gewicht: 40325.2 g
2025-08-02 08:07,T: 28.10 °C | H: 61.10 % | Gewicht: 36033.3 g,T: 22.30 °C | H: 76.80 % | Gewicht: 40310.6 g
2025-08-02 09:07,T: 28.90 °C | H: 60.50 % | Gewicht: 36076.8 g,T: 22.50 °C | H: 82.10 % | Gewicht: 40317.8 g
2025-08-02 10:07,T: 28.50 °C | H: 62.50 % | Gewicht: 36100.9 g,T: 23.20 °C | H: 82.30 % | Gewicht: 40309.6 g
2025-08-02 11:07,T: 28.80 °C | H: 60.60 % | Gewicht: 36072.3 g,T: 23.20 °C | H: 77.30 % | Gewicht: 40270.4 g
2025-08-02 12:07,T: 28.60 °C | H: 61.90 % | Gewicht: 36101.5 g,T: 23.50 °C | H: 83.10 % | Gewicht: 40279.7 g
2025-08-02 13:07,T: 28.60 °C | H: 62.60 % | Gewicht: 36096.8 g,T: 23.40 °C | H: 80.20 % | Gewicht: 40279.0 g
2025-08-02 14:07,T: 28.50 °C | H: 62.70 % | Gewicht: 36077.9 g,T: 22.90 °C | H: 82.10 % | Gewicht: 40268.0 g
